1	4179
2	6664
3	8696
4	10564
5	12526
6	14930
7	15471
8	20467
9	20975
10	21756
11	27018
12	27322
13	28693
14	29002
15	32872
16	34592
17	36046
18	40609
19	40688
20	48074
21	48258
22	48474
23	50001
24	51398
25	53087
26	56205
27	57552
28	57791
29	62505
30	65824
31	67101
32	68449
33	74641
34	75836
35	76590
36	79289
37	80105
38	80562
39	82689
40	84592
41	95379
42	95510
43	100920
44	104044
45	104204
46	104877
47	110066
48	110581
49	113315
50	113543
51	114878
52	115339
53	117368
54	119297
55	124880
56	127029
57	127221
58	127363
59	128976
60	131103
61	131652
62	136131
63	137054
64	137062
65	140244
66	140270
67	140487
68	140497
69	142511
70	148674
71	151107
72	154995
73	156850
74	158387
75	161846
76	162023
77	162713
78	167433
79	170186
80	170619
81	178795
82	182104
83	183884
84	186721
85	189142
86	189214
87	189423
88	189483
89	189726
90	196266
91	197007
92	198270
93	200184
94	200820
95	201175
96	202418
97	202822
98	208750
99	209798
100	212164
101	213528
102	220855
103	227444
104	229916
105	230238
106	231318
107	231486
108	245282
109	245306
110	245308
111	245385
112	245412
113	246383
114	246608
115	247684
116	248470
117	254928
118	258594
119	261821
120	262142
121	263684
122	267185
123	268238
124	269312
125	270126
126	270807
127	271063
128	271081
129	271459
130	272272
131	272994
132	275847
133	276364
134	276672
135	277312
136	277566
137	278200
138	278509
139	280129
140	280453
141	280455
142	282012
143	282019
144	284516
145	285713
146	289014
147	291241
148	296067
149	296969
150	297561
151	297893
152	299407
153	300447
154	300864
155	302964
156	303822
157	307984
158	308771
159	312975
160	313620
161	314772
162	315679
163	315950
164	316204
165	323828
166	324413
167	324666
168	326378
169	327136
170	327498
171	328045
172	329335
173	330241
174	333135
175	334934
176	335586
177	339225
178	342541
179	344173
180	345928
181	348399
182	349084
183	356910
184	357673
185	358160
186	358914
187	360648
188	360806
189	361924
190	365737
191	369937
192	371406
193	371482
194	372791
195	372926
196	379279
197	381709
198	384235
199	385715
200	388690
201	394637
202	396028
203	397968
204	398027
205	399443
206	402056
207	402057
208	402280
209	402344
210	402577
211	402939
212	405162
213	406472
214	408502
215	408654
216	409070
217	413769
218	413922
219	414195
220	416688
221	418629
222	418633
223	418717
224	421769
225	427186
226	427553
227	428079
228	428386
229	431147
230	432691
231	433243
232	435034
233	435213
234	440072
235	440435
236	440471
237	440518
238	440612
239	440635
240	441132
241	441326
242	442019
243	443088
244	443698
245	445348
246	446822
247	451197
248	451623
249	457834
250	458107
251	460434
252	465983
253	466246
254	469570
255	471358
256	472664
257	472736
258	476077
259	477062
260	477256
261	478616
262	479026
263	480226
264	481448
265	482318
266	483203
267	483366
268	484989
269	487303
270	490423
271	491259
272	491488
273	491832
274	493786
275	494162
276	495365
277	497777
278	500549
279	502167
280	504072
281	507636
